Día,C,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging,sma_12,ema_12,sma_26,ema_26,MACD
2020-06-26,50006.76,-0.002052699661262647,1.2233677648496173,49125.192,50503.35537771483,47747.02862228517,49653.015,49342.115,48141.317500000005,47054.265,50012.18,49510.27916666667,49483.68108974359,48997.69269230769,49109.93813609468,373.7429536489144
2020-06-27,50006.76,0.0,1.2233677648496173,49201.2405,50597.81467787529,47804.66632212471,49944.57,49342.115,48156.542499999996,47054.265,49893.06,49628.72666666666,49586.660833333335,49050.52692307692,49152.933816568046,433.7270167652896
2020-06-28,50006.76,0.0,1.2233677648496173,49279.696500000005,50672.114440936326,47887.278559063685,49944.57,49342.115,48206.957500000004,47054.265,49970.04,49746.85333333333,49686.885641025634,49103.648076923084,49197.639704142006,489.245936883628
2020-06-29,50006.76,0.0,1.2233677648496173,49354.186,50734.63795572081,47973.73404427919,49944.57,49342.115,48249.0225,47192.435,49970.04,49877.0375,49786.83897435897,49154.730769230766,49242.58837278107,544.2506015778999
2020-06-30,49872.97,-0.0026754382807444577,1.2200947199001098,49418.4525,50769.21434956869,48067.69065043131,50059.78,49342.115,48254.13,47320.100000000006,49970.04,49944.831666666665,49876.41173076923,49206.48730769231,49265.22911242603,611.1826183431986
2020-07-01,49970.48,0.0019551672980373525,1.2224802091969664,49481.302,50811.60869845611,48150.995301543895,50059.78,49342.115,48254.13,47465.025,50014.07,49972.15916666666,49948.777564102566,49263.590769230774,49324.024644970414,624.7529191321519
2020-07-02,50072.81,0.0020478090264490767,1.2249836152040154,49557.6265,50838.30960478907,48276.943395210925,50059.78,49342.115,48259.6175,47465.025,50129.52,50008.01416666667,49987.6439102564,49324.630000000005,49388.086035502965,599.5578747534382
2020-07-03,50099.92,0.0005414115964332833,1.2256468355387276,49635.3065,50847.090785027,48423.522214972996,49991.295,49342.115,48259.6175,47465.025,50181.99,50046.128333333334,50022.15352564103,49386.711923076924,49443.90538461539,578.2481410256369
2020-07-04,50099.92,0.0,1.2256468355387276,49712.986500000006,50830.07699116078,48595.896008839234,49986.445,49345.57,48247.58,47465.025,49955.66,50041.184166666666,50054.403974358975,49450.645769230774,49496.43624260355,557.9677317554233
2020-07-05,50099.92,0.0,1.2256468355387276,49788.713,50787.65980575259,48789.766194247415,49986.445,49345.57,48245.8275,47465.025,49637.75,50049.93916666667,50050.22044871795,49511.52846153846,49550.53411242604,499.68633629191027
